iter	Passed	Remaining
0	120	120122
1	122	60927
2	125	41590
3	127	31751
4	129	25862
5	132	21890
6	134	19073
7	137	16999
8	140	15451
9	144	14262
10	146	13148
11	148	12204
12	150	11421
13	152	10767
14	156	10254
15	158	9772
16	161	9314
17	164	8975
18	168	8682
19	170	8372
20	173	8076
21	175	7789
22	178	7574
23	184	7519
24	187	7312
25	189	7096
26	192	6932
27	194	6757
28	200	6723
29	203	6582
30	206	6439
31	210	6361
32	216	6355
33	219	6234
34	222	6139
35	231	6201
36	233	6082
37	236	5987
38	240	5922
39	242	5821
40	246	5755
41	248	5679
42	253	5639
43	256	5571
44	258	5484
45	261	5413
46	264	5353
47	266	5293
48	270	5247
49	273	5202
50	276	5141
51	278	5075
52	281	5033
53	286	5013
54	288	4956
55	290	4896
56	292	4837
57	296	4812
58	299	4780
59	302	4736
60	304	4684
61	306	4632
62	308	4583
63	311	4549
64	314	4517
65	316	4476
66	318	4429
67	320	4387
68	322	4350
69	337	4480
70	339	4444
71	342	4409
72	344	4370
73	346	4331
74	347	4291
75	349	4253
76	351	4215
77	353	4182
78	355	4147
79	358	4118
80	360	4090
81	362	4063
82	363	4021
83	365	3989
84	368	3969
85	373	3974
86	375	3943
87	377	3912
88	379	3884
89	381	3855
90	384	3841
91	386	3815
92	389	3801
93	391	3774
94	393	3748
95	395	3724
96	398	3710
97	401	3696
98	404	3678
99	406	3656
100	408	3632
101	410	3610
102	414	3606
103	416	3589
104	419	3576
105	421	3557
106	424	3539
107	427	3528
108	431	3523
109	433	3508
110	436	3493
111	438	3477
112	440	3460
113	444	3454
114	447	3440
115	448	3421
116	450	3399
117	452	3381
118	455	3372
119	459	3366
120	462	3356
121	463	3338
122	465	3321
123	467	3304
124	469	3289
125	472	3277
126	475	3266
127	477	3253
128	479	3238
129	481	3225
130	484	3212
131	486	3202
132	490	3198
133	493	3186
134	495	3172
135	498	3163
136	500	3150
137	502	3139
138	505	3130
139	507	3117
140	509	3102
141	510	3087
142	512	3072
143	514	3058
144	517	3050
145	519	3041
146	522	3029
147	524	3018
148	526	3006
149	528	2993
150	530	2981
151	533	2974
152	535	2964
153	537	2952
154	539	2941
155	541	2929
156	543	2916
157	545	2906
158	548	2900
159	550	2891
160	552	2877
161	554	2868
162	556	2860
163	559	2849
164	562	2846
165	565	2839
166	567	2832
167	570	2823
168	572	2813
169	574	2804
170	577	2797
171	579	2791
172	582	2782
173	583	2772
174	585	2762
175	588	2753
176	590	2745
177	592	2738
178	594	2728
179	596	2718
180	598	2709
181	600	2699
182	602	2689
183	604	2681
184	607	2675
185	609	2668
186	611	2659
187	613	2650
188	615	2641
189	617	2633
190	620	2626
191	622	2621
192	625	2613
193	626	2604
194	628	2596
195	631	2588
196	632	2579
197	637	2581
198	639	2575
199	642	2569
200	644	2561
201	646	2553
202	648	2545
203	652	2545
204	654	2539
205	656	2531
206	658	2523
207	661	2519
208	663	2511
209	666	2506
210	668	2500
211	670	2492
212	672	2486
213	674	2478
214	676	2470
215	678	2464
216	681	2459
217	683	2452
218	686	2447
219	688	2439
220	689	2431
221	691	2424
222	694	2418
223	696	2412
224	699	2408
225	701	2401
226	703	2394
227	705	2388
228	707	2380
229	710	2378
230	712	2373
231	715	2367
232	717	2361
233	719	2354
234	721	2349
235	724	2346
236	728	2344
237	731	2340
238	733	2334
239	735	2328
240	737	2323
241	741	2321
242	745	2321
243	747	2316
244	749	2310
245	752	2305
246	754	2300
247	759	2303
248	762	2299
249	764	2293
250	766	2288
251	769	2284
252	774	2287
253	777	2282
254	779	2277
255	781	2272
256	784	2268
257	789	2271
258	792	2267
259	794	2261
260	796	2255
261	799	2252
262	802	2247
263	805	2245
264	807	2240
265	810	2235
266	812	2229
267	814	2225
268	817	2220
269	821	2220
270	823	2216
271	826	2211
272	829	2207
273	832	2206
274	835	2202
275	838	2198
276	840	2193
277	842	2188
278	845	2186
279	852	2191
280	856	2190
281	861	2193
282	865	2193
283	869	2191
284	872	2189
285	876	2188
286	882	2191
287	888	2196
288	894	2199
289	897	2196
290	902	2198
291	910	2207
292	914	2207
293	925	2222
294	927	2217
295	930	2214
296	934	2212
297	942	2220
298	945	2217
299	949	2214
300	952	2211
301	956	2210
302	959	2206
303	969	2218
304	974	2221
305	977	2216
306	1083	2446
307	1088	2445
308	1125	2517
309	1135	2526
310	1144	2534
311	1149	2534
312	1163	2553
313	1212	2649
314	1215	2643
315	1219	2639
316	1225	2640
317	1251	2683
318	1261	2692
319	1264	2686
320	1267	2681
321	1275	2685
322	1278	2679
323	1281	2673
324	1284	2667
325	1288	2663
326	1291	2657
327	1293	2650
328	1296	2644
329	1300	2640
330	1303	2635
331	1307	2630
332	1309	2623
333	1312	2617
334	1316	2612
335	1319	2607
336	1321	2599
337	1323	2592
338	1326	2585
339	1330	2582
340	1334	2578
341	1336	2571
342	1339	2564
343	1341	2557
344	1344	2552
345	1348	2548
346	1351	2542
347	1354	2537
348	1359	2536
349	1363	2532
350	1367	2528
351	1370	2522
352	1376	2523
353	1380	2519
354	1382	2512
355	1385	2505
356	1388	2500
357	1392	2496
358	1394	2490
359	1397	2484
360	1399	2478
361	1405	2477
362	1408	2472
363	1411	2465
364	1414	2460
365	1417	2455
366	1430	2467
367	1436	2467
368	1439	2462
369	1442	2456
370	1445	2450
371	1448	2445
372	1454	2444
373	1458	2441
374	1466	2443
375	1470	2439
